modelo_id,familia,tag,arquivo,sha256,bytes,imgsz,epochs,metrica,metrica_fonte,quando,origem,copia_canonica
kfoldtopo-topo-detector-roi/kfold-4/best.pt,kfoldtopo-topo-detector-roi,kfold-4,best.pt,08f6755259ac4632803b03fbbff9de4b1bc298999d3f2b68d5df7e1025bcabce,6216234,,,,,,pnaat-modelos/kfoldtopo-topo-detector-roi/runs/kfold-4/weights/best.pt,kfoldtopo-topo-detector-roi/kfold-4/best.pt
kfoldtopo-topo-detector-roi/kfold-4/last.pt,kfoldtopo-topo-detector-roi,kfold-4,last.pt,c464895e376f6a4ba53ddb4480f33d510932009179f54c57aa8398da6f35dda7,6216234,,,,,,pnaat-modelos/kfoldtopo-topo-detector-roi/runs/kfold-4/weights/last.pt,kfoldtopo-topo-detector-roi/kfold-4/last.pt
kfoldtopoft-topo-detector-roi/kfold-0/best.pt,kfoldtopoft-topo-detector-roi,kfold-0,best.pt,271bb11dcc1b299ae75114f50ccb5760aa9bd3ba68c780b9d15d8b301c690c5e,6217130,,,,,,pnaat-modelos/kfoldtopoft-topo-detector-roi/runs/kfold-0/weights/best.pt,kfoldtopoft-topo-detector-roi/kfold-0/best.pt
kfoldtopoft-topo-detector-roi/kfold-0/last.pt,kfoldtopoft-topo-detector-roi,kfold-0,last.pt,e421faddc49443ed5693ff535716d493bfbff32ebedca78667d9d74ba60e7563,6217130,,,,,,pnaat-modelos/kfoldtopoft-topo-detector-roi/runs/kfold-0/weights/last.pt,kfoldtopoft-topo-detector-roi/kfold-0/last.pt
kfoldtopoft-topo-detector-roi/kfold-1/best.pt,kfoldtopoft-topo-detector-roi,kfold-1,best.pt,e6fc9685e8ffb72b07fd23786283d778f2cfbd4a98665950d8302682fc9b8e80,6217130,,,,,,pnaat-modelos/kfoldtopoft-topo-detector-roi/runs/kfold-1/weights/best.pt,kfoldtopoft-topo-detector-roi/kfold-1/best.pt
kfoldtopoft-topo-detector-roi/kfold-1/last.pt,kfoldtopoft-topo-detector-roi,kfold-1,last.pt,d1f349bb4f36cc0996bcc1382516dba86a0b611bb6ae69fc6727cb27845f079a,6217130,,,,,,pnaat-modelos/kfoldtopoft-topo-detector-roi/runs/kfold-1/weights/last.pt,kfoldtopoft-topo-detector-roi/kfold-1/last.pt
kfoldtopoft-topo-detector-roi/kfold-2/best.pt,kfoldtopoft-topo-detector-roi,kfold-2,best.pt,435f9437a3a2e9d7afa371e333e383e27fd40ea31fde7010784e367af79790af,6217130,,,,,,pnaat-modelos/kfoldtopoft-topo-detector-roi/runs/kfold-2/weights/best.pt,kfoldtopoft-topo-detector-roi/kfold-2/best.pt
kfoldtopoft-topo-detector-roi/kfold-2/last.pt,kfoldtopoft-topo-detector-roi,kfold-2,last.pt,9158f9335209ac325b145e3c5dd2589cfe0bfb91537073ab72aaea9dfa54c0ed,6217130,,,,,,pnaat-modelos/kfoldtopoft-topo-detector-roi/runs/kfold-2/weights/last.pt,kfoldtopoft-topo-detector-roi/kfold-2/last.pt
kfoldtopoft-topo-detector-roi/kfold-3/best.pt,kfoldtopoft-topo-detector-roi,kfold-3,best.pt,f3336d8f8c37e28fab01076329b8e36c994b15094f9e424357d356359dc15d69,6217130,,,,,,pnaat-modelos/kfoldtopoft-topo-detector-roi/runs/kfold-3/weights/best.pt,kfoldtopoft-topo-detector-roi/kfold-3/best.pt
kfoldtopoft-topo-detector-roi/kfold-3/last.pt,kfoldtopoft-topo-detector-roi,kfold-3,last.pt,4bff6e8df12c2b75a30740df8deaed311c3f45856b6e5aebba5278be8ab7fbf5,6217130,,,,,,pnaat-modelos/kfoldtopoft-topo-detector-roi/runs/kfold-3/weights/last.pt,kfoldtopoft-topo-detector-roi/kfold-3/last.pt
kfoldtopoft-topo-detector-roi/kfold-4/best.pt,kfoldtopoft-topo-detector-roi,kfold-4,best.pt,8600f0839fcf5891fa9238ee6af62c679f5c73ca93a0b96254f30e5cf3e7e679,6217130,,,,,,pnaat-modelos/kfoldtopoft-topo-detector-roi/runs/kfold-4/weights/best.pt,kfoldtopoft-topo-detector-roi/kfold-4/best.pt
kfoldtopoft-topo-detector-roi/kfold-4/last.pt,kfoldtopoft-topo-detector-roi,kfold-4,last.pt,767fe336c77a3d1aae2256b6fe819760992a44cd31ec077ba26622e2ed9e28bb,6217130,,,,,,pnaat-modelos/kfoldtopoft-topo-detector-roi/runs/kfold-4/weights/last.pt,kfoldtopoft-topo-detector-roi/kfold-4/last.pt
kfv7-lateral-detector-roi/kfold-0/best.pt,kfv7-lateral-detector-roi,kfold-0,best.pt,1c263b3ef702ddb67cfd0611c97f4042cdef79d899f05d843f7f2890b209d197,6230250,,,,,,pnaat-modelos/kfv7-lateral-detector-roi/runs/kfold-0/weights/best.pt,kfv7-lateral-detector-roi/kfold-0/best.pt
kfv7-lateral-detector-roi/kfold-0/last.pt,kfv7-lateral-detector-roi,kfold-0,last.pt,9f4f1eec13dceac20bb6291ee31bf770524de750cd19e39db37dcfe409115e5c,6230250,,,,,,pnaat-modelos/kfv7-lateral-detector-roi/runs/kfold-0/weights/last.pt,kfv7-lateral-detector-roi/kfold-0/last.pt
